;Review
527;Excellent food, very attentive service. They will push you to order more to increase your check. We were 5 people. They said We'll bring some side vegetables. They brought enough for 10. Worth a visit, just control the ordering.
528;Everything you would want from a timeless restaurant.
529;Magnificent. Traditional fayre, no unnecessary frills, with friendly but professional service.
530;Traditional and very classy. You will be impressed.
531;Lovely restaurant with great food and service. Very attentive staff. Restaurant had a lovely ambience. Well worth a visit.
532;I did book through you onl to get an email saying that my booking could not be made.  This happened the day  or so after my attempt. I tried again.  I dd not receive a confirmation.  I then booed directly with Wiltons.  Systems problems at you end?
533;Perfect! The service and food could not have been better. The ambiance was all we could have hoped for. A real winner.
534;Wiltons does belong to my favorites. Mainly because of the outstanding quality of the food and drinks served. But also because of the ambience. At Wiltons you may eat and drink in quietness that is more and more rare.
535;Loved it. Could not fault one thing. Staff were lovely,  place was very traditional British. A smart place for an occasion or just a treat
536;Always superb. Everything 'fish/ seafood' is superb. I had oysters and Dover sole. My guest had scallops and lobster. I had a savoury desert - soft roes on toast- that was wonderful. The service was exceptional. By that I mean both efficient and v friendly.  I get fed up with Stuffy service where they look down on you. Our waiter and waitress were so lovely. Tables a decent  distance apart. The downside is that it is expensive. Our bill was £350 for two and we only had the house Chablis. But, hey, it was great and you are a long time dead.
537;Great place for dinner. Excellent food (had a dover sole - outstanding). Very good service. Only the air condition could be little bit less blowing...
538;Wiltons is our favourite restaurant in London and we are a regular in this wonderful establishment. It was absolutely spot on as usual.
539;My Wife and I  had a first class evening most enjoyable
540;Alone in London on the tail end of a business trip and want to dine somewhere special but not feel that you are a table of one? Wiltons, as I discovered, would be the right choice. From being greeted with warmth and familiarity (and I a first-time diner), to being ushered with equal geniality into the good night of Jermyn Street, it was an experience one often wishes for but rarely receives elsewhere.  The service was abundant and attentive, without being too close. It is true that facing the bill can test one's courage and financial planning, however that feeling of utter satisfaction is what ultimately prevails. A selection of 1/2 dozen oysters, followed by the (maître d' recommended, and divine) white truffle infused scrambled eggs started the evening. The main course was grilled Dover sole (off-the-bone, according to the choice given), with a side of French beans. I have not had better. I was not intending for dessert but could not refuse the suggested evening special: berry trifle. Accompanied by a glass of tokay, it was a sweet end to a perfect evening. When next in London with my spouse, I shall return.
